name	x	y	z
Fp1	0.95	0.31	0.00
Fz	0.71	-0.00	0.71
F3	0.67	0.55	0.50
F7	0.59	0.81	0.00
F9	0.54	0.74	-0.39
FT9	0.28	0.88	-0.39
FC1	0.37	0.36	0.86
C3	0.00	0.71	0.71
T7	0.00	1.00	0.00
TP9	-0.28	0.88	-0.39
CP5	-0.33	0.87	0.36
CP1	-0.37	0.36	0.86
Pz	-0.71	-0.00	0.71
P3	-0.67	0.55	0.50
P7	-0.59	0.81	0.00
O1	-0.95	0.31	0.00
Oz	-1.00	-0.00	0.00
O2	-0.95	-0.31	0.00
P4	-0.67	-0.55	0.50
P8	-0.59	-0.81	0.00
TP10	-0.28	-0.88	-0.39
CP6	-0.33	-0.87	0.36
CP2	-0.37	-0.36	0.86
Cz	0.00	-0.00	1.00
C4	0.00	-0.71	0.71
T8	0.00	-1.00	0.00
FT10	0.28	-0.88	-0.39
FC2	0.37	-0.36	0.86
F4	0.67	-0.55	0.50
F8	0.59	-0.81	0.00
F10	0.54	-0.74	-0.39
Fp2	0.95	-0.31	0.00
Fpz	1.00	-0.00	0.00
AF3	0.89	0.36	0.28
AF7	0.81	0.59	0.00
F5	0.63	0.73	0.28
FT7	0.31	0.95	0.00
FC3	0.37	0.66	0.66
C1	0.00	0.39	0.92
C5	0.00	0.93	0.37
TP7	-0.31	0.95	0.00
CP3	-0.37	0.66	0.66
P5	-0.63	0.73	0.28
P9	-0.54	0.74	-0.39
PO9	-0.74	0.54	-0.39
PO7	-0.81	0.59	0.00
PO3	-0.89	0.36	0.28
I1	-0.88	0.29	-0.37
I2	-0.88	-0.29	-0.37
PO4	-0.89	-0.36	0.28
PO8	-0.81	-0.59	0.00
PO10	-0.74	-0.54	-0.39
P10	-0.54	-0.74	-0.39
P6	-0.63	-0.73	0.28
CPz	-0.37	-0.00	0.93
CP4	-0.37	-0.66	0.66
TP8	-0.31	-0.95	0.00
C6	0.00	-0.93	0.37
C2	0.00	-0.39	0.92
FC4	0.37	-0.66	0.66
FT8	0.31	-0.95	0.00
F6	0.63	-0.73	0.28
AF4	0.89	-0.36	0.28
AF8	0.81	-0.59	0.00
x_dir	0.00	-0.00	1.00
y_dir	0.00	-0.00	1.00
z_dir	0.00	-0.00	1.00
